Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
FilteredData | 0206_0_R1	0206_0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7758002.0	0.0	12-141	44.0	73.89466786785096	140.63527787180257	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
FilteredData | 0206_0_R2	0206_0_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7758002.0	0.0	13-141	44.0	74.46984508578561	140.39515315927991	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
FilteredData | 1120_0_R1	1120_0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8565089.0	0.0	12-141	40.0	59.345098876765434	140.69576042934287	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
FilteredData | 1120_0_R2	1120_0_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8565089.0	0.0	12-141	41.0	61.40439075352769	140.26998762067737	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
FilteredData | 1363_4_R1	1363_4_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10728697.0	0.0	11-141	46.0	78.46270161546572	140.62790691171537	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
FilteredData | 1363_4_R2	1363_4_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10728697.0	0.0	12-141	46.0	79.07837041839943	140.39168120788574	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
FilteredData | 1433_4_R1	1433_4_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9393410.0	0.0	12-141	45.0	65.14476459571506	140.67037518856304	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
FilteredData | 1433_4_R2	1433_4_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9393410.0	0.0	11-141	45.0	67.08700163649873	140.38848330904327	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
FilteredData | 1451_6_R1	1451_6_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11570976.0	0.0	11-141	46.0	77.61073935651538	140.577905355607	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
FilteredData | 1451_6_R2	1451_6_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11570976.0	0.0	11-141	47.0	78.38091851128452	140.27547857674236	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
FilteredData | 1455_6_R1	1455_6_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10168151.0	0.0	11-141	45.0	54.45310056650574	140.66038407572822	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
FilteredData | 1455_6_R2	1455_6_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10168151.0	0.0	14-141	46.0	57.19239054782861	139.99455417214006	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
FilteredData | 1538_6_R1	1538_6_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10017512.0	0.0	12-141	47.0	60.7796699401124	140.62495328181288	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
FilteredData | 1538_6_R2	1538_6_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10017512.0	0.0	11-141	47.0	60.133808489939156	140.57737550002435	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
FilteredData | 1640_0_R1	1640_0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9686538.0	0.0	12-141	45.0	64.15864437201034	140.6746400003799	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
FilteredData | 1640_0_R2	1640_0_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9686538.0	0.0	14-141	45.0	65.17483564346873	140.53028120056928	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
FilteredData | 2282_0_R1	2282_0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7511909.0	0.0	13-141	45.0	83.0814736167312	140.5806686422852	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 2282_0_R2	2282_0_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7511909.0	0.0	12-141	46.0	83.21729453195319	140.4076511043997	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 2282_1_R1	2282_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10305555.0	0.0	12-141	48.0	71.18885241598169	140.64999556064666	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 2282_1_R2	2282_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10305555.0	0.0	12-141	48.0	73.19857234629195	140.2507689299606	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 2282_4_R1	2282_4_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10074725.0	0.0	12-141	48.0	80.86464819141483	140.63964902267804	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
FilteredData | 2282_4_R2	2282_4_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10074725.0	0.0	11-141	49.0	82.05263896275369	140.316662539176	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
FilteredData | 2282_6_R1	2282_6_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9175773.0	0.0	12-141	46.0	65.39098078970294	140.68440784226027	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
FilteredData | 2282_6_R2	2282_6_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9175773.0	0.0	12-141	47.0	65.59110115197106	140.58393826874314	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
FilteredData | 3029_4_R1	3029_4_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8686560.0	0.0	12-141	46.0	77.08637123262288	140.54239054355233	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 3029_4_R2	3029_4_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8686560.0	0.0	13-141	46.0	76.62479504242279	140.4541073796762	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 3326_0_R1	3326_0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10575699.0	0.0	12-141	43.0	77.72115800487161	140.62487236068273	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 3326_0_R2	3326_0_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10575699.0	0.0	12-141	43.0	78.42605310129633	140.36120884302778	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 3510_1_R1	3510_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8610619.0	0.0	11-141	48.0	68.85051639293486	140.52434476545764	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
FilteredData | 3510_1_R2	3510_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8610619.0	0.0	14-141	48.0	67.9388629664382	140.43342249842897	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
FilteredData | 3790_1_R1	3790_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7961651.0	0.0	12-141	44.0	80.2473559644045	140.60633592203425	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
FilteredData | 3790_1_R2	3790_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7961651.0	0.0	13-141	45.0	81.13853914727737	140.25838711091455	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
FilteredData | 5235_0_R1	5235_0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10693781.0	0.0	13-141	45.0	71.08043317493254	140.68903150345045	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 5235_0_R2	5235_0_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10693781.0	0.0	11-141	45.0	71.42605662825864	140.51794823552117	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 5235_1_R1	5235_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11305981.0	0.0	12-141	47.0	74.19154230810722	140.6473442684894	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 5235_1_R2	5235_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11305981.0	0.0	12-141	47.0	75.01266661486498	140.51117191865083	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
FilteredData | 5235_4_R1	5235_4_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9146995.0	0.0	13-141	48.0	76.84768652679207	140.63421670176928	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 5235_4_R2	5235_4_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9146995.0	0.0	12-141	48.0	77.46146949094009	140.4315296990979	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 5235_6_R1	5235_6_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8696238.0	0.0	12-141	46.0	79.02415305158239	140.6686591374339	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 5235_6_R2	5235_6_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8696238.0	0.0	12-141	47.0	79.18297474358181	140.5642133989433	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 7344_0_R1	7344_0_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10122458.0	0.0	12-141	44.0	79.98309762299108	140.58071191799462	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
FilteredData | 7344_0_R2	7344_0_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10122458.0	0.0	11-141	44.0	80.51541097307526	140.29047035808892	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
FilteredData | 7344_1_R1	7344_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9766348.0	0.0	13-141	44.0	59.78169756165587	140.66438212113678	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
FilteredData | 7344_1_R2	7344_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9766348.0	0.0	13-141	44.0	62.869519406257965	140.2078486246855	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
FilteredData | 7344_4_R1	7344_4_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7835780.0	0.0	12-141	44.0	73.65173522820147	140.67330119018146	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 7344_4_R2	7344_4_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7835780.0	0.0	13-141	44.0	74.16000610920523	140.40057518204952	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
FilteredData | 7344_6_R1	7344_6_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7320343.0	0.0	12-141	44.0	65.85316594251478	140.66707680227552	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
FilteredData | 7344_6_R2	7344_6_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7320343.0	0.0	12-141	45.0	66.56365412189946	140.5534229748524	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
