Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Kraken_mqc-generalstats-kraken-Blautia_hansenii	Kraken_mqc-generalstats-kraken-Top_5	Kraken_mqc-generalstats-kraken-Unclassified	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct
FilteredData | 0206_0_R1	26.105332132149044	44.0	140.63527787180257	0.0	7758002.0				
FilteredData | 0206_0_R2	25.530154914214393	44.0	140.39515315927991	0.0	7758002.0				
FilteredData | 1120_0_R1	40.654901123234566	40.0	140.69576042934287	9.090909090909092	8565089.0				
FilteredData | 1120_0_R2	38.59560924647231	41.0	140.26998762067737	9.090909090909092	8565089.0				
FilteredData | 1363_4_R1	21.53729838453428	46.0	140.62790691171537	0.0	10728697.0				
FilteredData | 1363_4_R2	20.92162958160057	46.0	140.39168120788574	0.0	10728697.0				
FilteredData | 1433_4_R1	34.85523540428494	45.0	140.67037518856304	0.0	9393410.0				
FilteredData | 1433_4_R2	32.91299836350127	45.0	140.38848330904327	0.0	9393410.0				
FilteredData | 1451_6_R1	22.38926064348462	46.0	140.577905355607	0.0	11570976.0				
FilteredData | 1451_6_R2	21.61908148871548	47.0	140.27547857674236	0.0	11570976.0				
FilteredData | 1455_6_R1	45.54689943349426	45.0	140.66038407572822	0.0	10168151.0				
FilteredData | 1455_6_R2	42.80760945217139	46.0	139.99455417214006	0.0	10168151.0				
FilteredData | 1538_6_R1	39.2203300598876	47.0	140.62495328181288	0.0	10017512.0				
FilteredData | 1538_6_R2	39.866191510060844	47.0	140.57737550002435	0.0	10017512.0				
FilteredData | 1640_0_R1	35.84135562798966	45.0	140.6746400003799	0.0	9686538.0				
FilteredData | 1640_0_R2	34.825164356531275	45.0	140.53028120056928	0.0	9686538.0				
FilteredData | 2282_0_R1	16.918526383268798	45.0	140.5806686422852	0.0	7511909.0				
FilteredData | 2282_0_R2	16.782705468046814	46.0	140.4076511043997	0.0	7511909.0				
FilteredData | 2282_1_R1	28.811147584018315	48.0	140.64999556064666	0.0	10305555.0				
FilteredData | 2282_1_R2	26.801427653708046	48.0	140.2507689299606	0.0	10305555.0				
FilteredData | 2282_4_R1	19.13535180858517	48.0	140.63964902267804	0.0	10074725.0				
FilteredData | 2282_4_R2	17.94736103724631	49.0	140.316662539176	0.0	10074725.0				
