Sample	input_read_pairs	surviving	surviving_pct	forward_only_surviving	forward_only_surviving_pct	reverse_only_surviving	reverse_only_surviving_pct	dropped	dropped_pct
RawData | 0206_0_R1	8256195.0	7845983.0	95.03	259255.0	3.14	651.0	0.01	150306.0	1.82
RawData | 1120_0_R1	8952877.0	8569557.0	95.72	233709.0	2.61	506.0	0.01	149105.0	1.67
RawData | 1363_4_R1	11110067.0	10747305.0	96.73	227560.0	2.05	1051.0	0.01	134151.0	1.21
RawData | 1433_4_R1	9651934.0	9409049.0	97.48	150121.0	1.56	561.0	0.01	92203.0	0.96
RawData | 1451_6_R1	11916746.0	11577274.0	97.15	217921.0	1.83	1194.0	0.01	120357.0	1.01
RawData | 1455_6_R1	10400783.0	10171081.0	97.79	134831.0	1.3	819.0	0.01	94052.0	0.9
RawData | 1538_6_R1	10331960.0	10018834.0	96.97	196239.0	1.9	776.0	0.01	116111.0	1.12
RawData | 1640_0_R1	10060189.0	9691011.0	96.33	234133.0	2.33	518.0	0.01	134527.0	1.34
RawData | 2282_0_R1	7901286.0	7625045.0	96.5	170353.0	2.16	455.0	0.01	105433.0	1.33
RawData | 2282_1_R1	10506494.0	10311344.0	98.14	133463.0	1.27	981.0	0.01	60706.0	0.58
RawData | 2282_4_R1	10400158.0	10091834.0	97.04	195606.0	1.88	885.0	0.01	111833.0	1.08
RawData | 2282_6_R1	9825324.0	9182018.0	93.45	361593.0	3.68	724.0	0.01	280989.0	2.86
RawData | 3029_4_R1	8911762.0	8687917.0	97.49	144094.0	1.62	633.0	0.01	79118.0	0.89
RawData | 3326_0_R1	11240126.0	10810140.0	96.17	277802.0	2.47	913.0	0.01	151271.0	1.35
RawData | 3510_1_R1	9014895.0	8627149.0	95.7	219959.0	2.44	811.0	0.01	166976.0	1.85
RawData | 3790_1_R1	8941951.0	8159432.0	91.25	451207.0	5.05	958.0	0.01	330354.0	3.69
RawData | 5235_0_R1	11147117.0	10742663.0	96.37	255315.0	2.29	582.0	0.01	148557.0	1.33
RawData | 5235_1_R1	11910619.0	11321253.0	95.05	335360.0	2.82	1131.0	0.01	252875.0	2.12
RawData | 5235_4_R1	9440012.0	9156607.0	97.0	175788.0	1.86	944.0	0.01	106673.0	1.13
RawData | 5235_6_R1	8954354.0	8699950.0	97.16	161399.0	1.8	622.0	0.01	92383.0	1.03
RawData | 7344_0_R1	10842584.0	10367474.0	95.62	280434.0	2.59	894.0	0.01	193782.0	1.79
RawData | 7344_1_R1	10014149.0	9767635.0	97.54	155952.0	1.56	441.0	0.0	90121.0	0.9
RawData | 7344_4_R1	8186483.0	7838775.0	95.75	211316.0	2.58	541.0	0.01	135851.0	1.66
RawData | 7344_6_R1	7827887.0	7321881.0	93.54	290129.0	3.71	522.0	0.01	215355.0	2.75
RawData | 7412_0_R1	9801853.0	9533082.0	97.26	178991.0	1.83	752.0	0.01	89028.0	0.91
RawData | 7909_0_R1	11084520.0	10532770.0	95.02	342964.0	3.09	1183.0	0.01	207603.0	1.87
RawData | 7909_1_R1	9438339.0	9226348.0	97.75	137428.0	1.46	728.0	0.01	73835.0	0.78
RawData | 7909_4_R1	9454694.0	9197418.0	97.28	162408.0	1.72	837.0	0.01	94031.0	0.99
RawData | 7909_6_R1	11852200.0	11597987.0	97.86	167121.0	1.41	922.0	0.01	86170.0	0.73
RawData | 9045_1_R1	8484585.0	8275158.0	97.53	133463.0	1.57	482.0	0.01	75482.0	0.89
RawData | 9255_1_R1	9280945.0	9061426.0	97.63	139714.0	1.51	752.0	0.01	79053.0	0.85
RawData | 9353_0_R1	8029984.0	7857618.0	97.85	109606.0	1.36	703.0	0.01	62057.0	0.77
RawData | 9356_0_R1	10943261.0	10440651.0	95.41	312311.0	2.85	1359.0	0.01	188940.0	1.73
RawData | 9432_4_R1	9896106.0	9612951.0	97.14	178883.0	1.81	856.0	0.01	103416.0	1.05
RawData | 9532_0_R1	8407258.0	8116865.0	96.55	182671.0	2.17	495.0	0.01	107227.0	1.28
RawData | 9648_0_R1	7385495.0	7175515.0	97.16	133331.0	1.81	522.0	0.01	76127.0	1.03
RawData | 9824_6_R1	8753290.0	8479765.0	96.88	178620.0	2.04	1086.0	0.01	93819.0	1.07
RawData | C0_R1	11111025.0	10876158.0	97.89	156392.0	1.41	546.0	0.0	77929.0	0.7
RawData | C1_R1	9897184.0	9206015.0	93.02	396535.0	4.01	1115.0	0.01	293519.0	2.97
RawData | C4_R1	9764998.0	9549959.0	97.8	143253.0	1.47	700.0	0.01	71086.0	0.73
RawData | C6_R1	9368553.0	9014062.0	96.22	222901.0	2.38	673.0	0.01	130917.0	1.4
RawData | I0_R1	9421717.0	8469358.0	89.89	516704.0	5.48	875.0	0.01	434780.0	4.61
RawData | I1_R1	8324968.0	7785433.0	93.52	309171.0	3.71	472.0	0.01	229892.0	2.76
RawData | I4_R1	9395467.0	9086648.0	96.71	197399.0	2.1	551.0	0.01	110869.0	1.18
RawData | I6_R1	10459552.0	10200750.0	97.53	168467.0	1.61	716.0	0.01	89619.0	0.86
RawData | MOCKCOMMUNITY_R1	9713681.0	9545304.0	98.27	112528.0	1.16	1644.0	0.02	54205.0	0.56
