feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1CMET2.PWY..folate.transformations.III..E..coli.	Timepoint	M1	0.0531539997540378	0.106472904802499	20	20	0.629595456366597	0.99957007619886
X1CMET2.PWY..folate.transformations.III..E..coli..unclassified	Timepoint	M1	0.245522320056207	0.642979770735652	20	20	0.70704260104233	0.99957007619886
X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation	Timepoint	M1	0.678451522660003	0.339180209086233	20	5	0.0765196785769925	0.99957007619886
ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast	Timepoint	M1	-0.115502044654903	0.578969884226685	20	18	0.846309483102276	0.99957007619886
ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast.unclassified	Timepoint	M1	0.0111683340071465	0.562034978474071	20	15	0.984579655133992	0.99957007619886
ANAEROFRUCAT.PWY..homolactic.fermentation	Timepoint	M1	-0.140703902779231	0.4040202763644	20	20	0.731685180213859	0.99957007619886
ANAEROFRUCAT.PWY..homolactic.fermentation.unclassified	Timepoint	M1	-0.0567025745010213	0.422706098234066	20	20	0.896242217549269	0.99957007619886
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	Timepoint	M1	0.0780901473715687	0.118151168588512	20	20	0.517025336730655	0.99957007619886
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose..unclassified	Timepoint	M1	0.0516246040832357	0.565318450237546	20	20	0.929238947569428	0.99957007619886
ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis	Timepoint	M1	-0.00734965890994204	0.34449244588353	20	18	0.983444142901806	0.99957007619886
ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis.unclassified	Timepoint	M1	0.141169134947319	0.507901475081466	20	16	0.787333508287274	0.99957007619886
ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation	Timepoint	M1	0.159097639932384	0.830492448359155	20	8	0.852331145568761	0.99957007619886
ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation.unclassified	Timepoint	M1	0.307809141404778	0.303455374793997	20	4	0.323858582060171	0.99957007619886
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	Timepoint	M1	-0.636117895712022	0.675160138550114	20	20	0.370704847046108	0.99957007619886
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II.unclassified	Timepoint	M1	0.120244593017273	1.14577394109136	20	19	0.917579125094882	0.99957007619886
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.	Timepoint	M1	0.0394722995250874	0.152874992110578	20	20	0.799181801358007	0.99957007619886
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..unclassified	Timepoint	M1	0.10786439641341	0.565301166899341	20	20	0.85291027784059	0.99957007619886
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.	Timepoint	M1	0.0465944110145131	0.194558191753188	20	20	0.813432809200312	0.99957007619886
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..unclassified	Timepoint	M1	0.258993494155753	0.615420698034939	20	20	0.683743296346768	0.99957007619886
ARO.PWY..chorismate.biosynthesis.I	Timepoint	M1	-0.00222847726988675	0.170654062860032	20	20	0.989724810663347	0.99957007619886
ARO.PWY..chorismate.biosynthesis.I.unclassified	Timepoint	M1	0.176041007170053	0.45923980260256	20	20	0.705963843053882	0.99957007619886
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	Timepoint	M1	-0.090803824717807	0.274596858386087	20	20	0.744703971903909	0.99957007619886
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis.unclassified	Timepoint	M1	-0.217492381199816	0.607232505441411	20	20	0.728473192949021	0.99957007619886
