feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Otu_7	Timepoint	M1	0.973996397559738	0.524160418290125	20	5	0.0795736913603785	0.529133074442621
Otu_20	Timepoint	M1	1.88049205610673	1.0301825983316	20	7	0.101232682184118	0.529133074442621
Otu_141	Timepoint	M1	-1.62786619805757	0.87184847496751	20	8	0.0947291822617151	0.529133074442621
Otu_150	Timepoint	M1	-1.7779153670907	0.961278212745165	20	9	0.0974233986457712	0.529133074442621
Otu_153	Timepoint	M1	-3.03546934025653	1.78985991382812	20	6	0.124135664506398	0.529133074442621
Otu_161	Timepoint	M1	1.08282529165405	0.508230139022542	20	4	0.0569756903935563	0.529133074442621
Otu_163	Timepoint	M1	1.45976224426075	0.915608253612224	20	3	0.128274684713363	0.529133074442621
Otu_177	Timepoint	M1	-2.48445654887047	0.987138685402752	20	11	0.0329397385601525	0.529133074442621
Otu_135	Timepoint	M1	-1.19260532092994	0.885238020532411	20	4	0.210847605775908	0.695797099060495
Otu_146	Timepoint	M1	-1.84417820329728	1.36480757251536	20	14	0.209604838158722	0.695797099060495
Otu_39	Timepoint	M1	-1.99988424357723	1.56375087946779	20	15	0.232921361663547	0.698764084990641
Otu_64	Timepoint	M1	2.06637889148613	1.92822803679049	20	9	0.298037735785722	0.736006645552398
Otu_75	Timepoint	M1	2.4841948454639	2.38934248893794	20	9	0.312245243567684	0.736006645552398
Otu_125	Timepoint	M1	-0.338080758748856	0.31568100926708	20	3	0.298339387644498	0.736006645552398
Otu_42	Timepoint	M1	-1.0300533652802	1.24480578667052	20	5	0.418800206252311	0.843119105616868
Otu_155	Timepoint	M1	-1.10028449156024	1.31015646374811	20	18	0.412030186962179	0.843119105616868
Otu_166	Timepoint	M1	-0.458927495514678	0.560853076359467	20	6	0.43433408471172	0.843119105616868
Otu_122	Timepoint	M1	0.537342740749386	0.740942618974711	20	6	0.486747136501191	0.892369750252184
Otu_147	Timepoint	M1	0.770433363153643	1.15872810750819	20	7	0.522787630391773	0.907999568575185
Otu_49	Timepoint	M1	0.451934229312226	0.790897653406898	20	12	0.581702425657318	0.925172507271162
Otu_131	Timepoint	M1	-0.573651458794294	1.0420614687563	20	19	0.58874614099074	0.925172507271162
Otu_13	Timepoint	M1	-0.193982330264393	1.05495773496416	20	20	0.8561656156547	0.939334223422443
Otu_54	Timepoint	M1	-0.737535512022968	1.57898140904742	20	8	0.651533062179272	0.939334223422443
Otu_101	Timepoint	M1	0.198200784438863	1.23679197042334	20	10	0.876220202086671	0.939334223422443
Otu_108	Timepoint	M1	0.245695529526955	0.937861040541336	20	16	0.799238542963778	0.939334223422443
Otu_117	Timepoint	M1	0.213657074530911	0.658718629589257	20	19	0.753082651362985	0.939334223422443
Otu_132	Timepoint	M1	0.206208016184831	0.718082835645068	20	4	0.780488185925067	0.939334223422443
Otu_160	Timepoint	M1	-0.349034955534637	1.24655892144948	20	10	0.785807478790417	0.939334223422443
Otu_176	Timepoint	M1	0.107497790586743	0.237923356278077	20	3	0.656797868525911	0.939334223422443
Otu_181	Timepoint	M1	-0.153514256463768	1.00879372031401	20	4	0.882404876548355	0.939334223422443
Otu_185	Timepoint	M1	0.238393818106309	1.47043331431057	20	15	0.8747890028419	0.939334223422443
Otu_152	Timepoint	M1	0.120378534775836	1.36854262985935	20	8	0.931833691978415	0.96095349485274
Otu_136	Timepoint	M1	0.0325064211224216	1.09343783096279	20	17	0.976932274055368	0.976932274055368
